강좌명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수방법구분,선정방법구분,홈페이지주소,데이터기준일자
연필그림B반,2025-01-06,2025-12-26,14:40,16:10,연필(미술),만60세 이상 노인,강의,월,3층 서예실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
민요장구반,2025-01-06,2025-12-26,12:30,13:20,민요·장구,만60세 이상 노인,강의,화·목,4층 강당,30,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
노래교실,2025-01-06,2025-12-26,09:50,11:00,노래,만60세 이상 노인,강의,화·금,4층 강당,200,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
캘리그라피반,2025-01-06,2025-12-26,14:30,15:50,볼펜글씨(미술),만60세 이상 노인,강의,금,5층 프로그램실 1,24,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
기타초급반,2025-01-06,2025-12-26,10:30,11:50,기타 초급,만60세 이상 노인,강의,월,5층 프로그램실 2,15,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
기타중급반,2025-01-06,2025-12-26,12:30,13:50,기타 중급,만60세 이상 노인,강의,월,5층 프로그램실 2,15,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
기타고급반,2025-01-06,2025-12-26,14:00,15:20,기타 고급,만60세 이상 노인,강의,월,5층 프로그램실 2,15,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
가곡반,2025-01-06,2025-12-26,10:00,11:30,가곡,만60세 이상 노인,강의,목,4층 강당,50,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
하모니카 초·중급반,2025-01-06,2025-12-26,09:00,10:20,하모니카 초중급반,만60세 이상 노인,강의,월,5층 프로그램실 2,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
하모니카 고급반,2025-01-06,2025-12-26,11:00,12:20,하모니카 고급반,만60세 이상 노인,강의,목,5층 프로그램실 2,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
오카리나 초·중급반,2025-01-06,2025-12-26,09:30,10:50,오카리나 초중급반,만60세 이상 노인,강의,금,5층 프로그램실 2,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
오카리나 고급반,2025-01-06,2025-12-26,11:00,12:20,오카리나 고급반,만60세 이상 노인,강의,금,5층 프로그램실 2,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
단전호흡 A반,2025-01-06,2025-12-26,09:30,10:20,단전호흡,만60세 이상 노인,강의,월·수,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
단전호흡 B반,2025-01-06,2025-12-26,10:30,11:20,단전호흡,만60세 이상 노인,강의,월·수,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
단전호흡 C반,2025-01-06,2025-12-26,11:30,12:20,단전호흡,만60세 이상 노인,강의,월·수,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
단전호흡 D반,2025-01-06,2025-12-26,13:00,13:50,단전호흡,만60세 이상 노인,강의,월·수,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
단전호흡 E반,2025-01-06,2025-12-26,14:00,14:50,단전호흡,만60세 이상 노인,강의,월·수,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
실버요가 A반,2025-01-06,2025-12-26,09:30,10:20,요가,만60세 이상 노인,강의,화·목,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
실버요가 B반,2025-01-06,2025-12-26,10:30,11:20,요가,만60세 이상 노인,강의,화·목,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
실버요가 C반,2025-01-06,2025-12-26,11:30,12:20,요가,만60세 이상 노인,강의,화·목,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
실버요가 D반,2025-01-06,2025-12-26,13:00,13:50,요가,만60세 이상 노인,강의,화·목,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
실버요가 E반,2025-01-06,2025-12-26,14:00,14:50,요가,만60세 이상 노인,강의,화·목,4층 프로그램실,20,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
웰빙댄스 초급반,2025-01-06,2025-12-26,15:40,17:00,웰빙댄스 초급,만60세 이상 노인,강의,화,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
웰빙댄스 중급반,2025-01-06,2025-12-26,15:40,17:00,웰빙댄스 중급,만60세 이상 노인,강의,목,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
댄스스포츠 초급반,2025-01-06,2025-12-26,14:40,15:30,댄스스포츠 초급,만60세 이상 노인,강의,화·목,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
댄스스포츠 중급반,2025-01-06,2025-12-26,13:40,14:30,댄스스포츠 중급,만60세 이상 노인,강의,화·목,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
한국무용 A반,2025-01-06,2025-12-26,12:30,13:20,한국무용,만60세 이상 노인,강의,월·수,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
한국무용 B반,2025-01-06,2025-12-26,13:40,14:30,한국무용,만60세 이상 노인,강의,월·수,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
라인댄스 입문A반,2025-01-06,2025-12-26,10:10,11:00,라인댄스 입문,만60세 이상 노인,강의,월·수,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
라인댄스 입문B반,2025-01-06,2025-12-26,11:10,12:00,라인댄스 입문,만60세 이상 노인,강의,월·수,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
라인댄스 A반,2025-01-06,2025-12-26,15:00,15:50,라인댄스,만60세 이상 노인,강의,월·수,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
라인댄스 B반,2025-01-06,2025-12-26,16:00,16:50,라인댄스,만60세 이상 노인,강의,월·수,4층 강당,40,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
영어반,2025-01-01,2025-12-31,13:00,13:50,"영어 초급, 쉬운 회화",만60세 이상 노인,강의,월ㆍ수,노인복지관 반여분관 프로그램실1,25,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
생활한자반,2025-01-02,2025-12-31,10:00,10:50,기초 생활한자어,만60세 이상 노인,강의,화ㆍ목,노인복지관 반여분관 프로그램실1,25,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
일본어회화반,2025-01-03,2025-12-31,11:00,11:50,상황별 일본어회화,만60세 이상 노인,강의,화ㆍ목,노인복지관 반여분관 프로그램실1,25,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
영어팝송반,2025-01-04,2025-12-31,13:00,14:20,영어팝송 배우기,만60세 이상 노인,강의,화,노인복지관 반여분관 프로그램실1,25,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
스마트폰활용반,2025-01-05,2025-12-31,10:00,10:50,스마트폰 활용,만60세 이상 노인,강의,금,노인복지관 반여분관 프로그램실1,25,1개월 7000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
스마트폰활용반,2025-01-06,2025-12-31,09:30,10:20,스마트폰 활용,만60세 이상 노인,강의,화ㆍ목,반디문화센터 4층 제1프로그램실,22,1개월 13000원,해운대구 재반로 256번길 29-53,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
스마트폰 사진영상편집반,2025-01-07,2025-12-31,10:00,11:20,스마트폰 사진 및 동영상 편집,만60세 이상 노인,강의,월,노인복지관 반여분관 프로그램실1,25,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
연필 그림반,2025-01-08,2025-12-31,13:00,14:20,연필 그림그리기,만60세 이상 노인,강의,금,노인복지관 반여분관 프로그램실1,20,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
연필 그림반,2025-01-09,2025-12-31,09:30,10:50,연필 그림그리기,만60세 이상 노인,강의,수,반디문화센터 4층 제1프로그램실,22,1개월 13000원,해운대구 재반로 256번길 29-53,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
색연필 그림반,2025-01-10,2025-12-31,14:30,15:50,색연필 그림그리기,만60세 이상 노인,강의,금,노인복지관 반여분관 프로그램실1,20,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
캘리그라피반,2025-01-11,2025-12-31,10:00,11:20,붓펜 손글씨 쓰기,만60세 이상 노인,강의,수,노인복지관 반여분관 프로그램실1,20,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
하모니카반,2025-01-12,2025-12-31,13:00,14:20,하모니카 연주,만60세 이상 노인,강의,목,노인복지관 반여분관 프로그램실1,20,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
노래교실A반,2025-01-13,2025-12-31,10:00,10:50,최신가요 및 트로트,만60세 이상 노인,강의,금,노인복지관 반여분관 강당,40,1개월 7000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
노래교실B반,2025-01-14,2025-12-31,11:00,11:50,최신가요 및 트로트,만60세 이상 노인,강의,금,노인복지관 반여분관 강당,40,1개월 7000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
건강요가반,2025-01-15,2025-12-31,14:00,14:50,맨몸 스트레칭 및 요가,만60세 이상 노인,강의,월ㆍ수,노인복지관 반여분관 강당,18,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
밴드요가반,2025-01-16,2025-12-31,10:00,10:50,밴드운동 및 요가,만60세 이상 노인,강의,화ㆍ목,노인복지관 반여분관 강당,18,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
밴드요가A반,2025-01-17,2025-12-31,13:30,14:20,밴드운동 및 요가,만60세 이상 노인,강의,월ㆍ수,반디문화센터 4층 제1프로그램실,12,1개월 13000원,해운대구 재반로 256번길 29-53,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
밴드요가B반,2025-01-18,2025-12-31,14:30,15:20,밴드운동 및 요가,만60세 이상 노인,강의,월ㆍ수,반디문화센터 4층 제1프로그램실,12,1개월 13000원,해운대구 재반로 256번길 29-53,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
근력강화댄스반,2025-01-19,2025-12-31,10:00,10:50,근력강화 댄스운동,만60세 이상 노인,강의,월ㆍ수,노인복지관 반여분관 강당,18,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
라인댄스 A반,2025-01-20,2025-12-31,14:00,14:50,라인댄스 기초,만60세 이상 노인,강의,화ㆍ목,노인복지관 반여분관 강당,18,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
라인댄스 B반,2025-01-21,2025-12-31,15:00,15:50,라인댄스 기초,만60세 이상 노인,강의,화ㆍ목,노인복지관 반여분관 강당,18,1개월 13000원,해운대구 선수촌로 207번길 79 ,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
웃음건강체조반,2025-01-22,2025-12-31,10:30,11:50,건강 레크리에이션,만60세 이상 노인,강의,금,반디문화센터 4층 제1프로그램실,14,1개월 13000원,해운대구 재반로 256번길 29-53,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
좌식댄스반,2025-01-23,2025-12-31,13:00,13:50,앉아서하는 댄스,만60세 이상 노인,강의,화ㆍ목,반디문화센터 4층 제1프로그램실,14,1개월 13000원,해운대구 재반로 256번길 29-53,노인복지관 반여분관,051-529-9141,방문접수,신규접수,http://banyeo.haeundaejangsan.or.kr,2024-12-12
